MachineID,MachineName,Location,OrganizationId,MachineCode,IsActive,AddBy,EdittedBy,CategoryId,NonStop,DemandType
1,PDC_01,FARIDABAD,5,PDC_01,True,1,0,1,,Runner
2,PDC_02,FARIDABAD,5,PDC_02,True,1,0,1,,Runner
3,PDC_03,FARIDABAD,5,PDC_03,True,1,0,1,,Runner
4,PDC_04,FARIDABAD,5,PDC_04,True,1,1,1,,Runner
5,PDC_05,FARIDABAD,5,PDC_05,True,1,0,1,,Runner
6,PDC_06,FARIDABAD,5,PDC_06,True,1,0,1,,Runner
7,PDC_08,FARIDABAD,5,PDC_08,True,1,0,1,,Runner
8,PDC_09,FARIDABAD,5,PDC_09,True,1,0,1,,Runner
9,PDC_10,FARIDABAD,5,PDC_10,True,1,0,1,,Runner
10,PP_01,FARIDABAD,5,PP_01,True,1,0,1,,Runner
11,PP_02,FARIDABAD,5,PP_02,True,1,0,1,,Runner
12,PP_03,FARIDABAD,5,PP_03,True,1,0,1,,Runner
13,PP_04,FARIDABAD,5,PP_04,True,1,0,1,,Runner
14,PP_05,FARIDABAD,5,PP_05,True,1,0,1,,Runner
15,HP_01_PP,FARIDABAD,5,HP_01_PP,True,1,1,1,,Runner
16,HP_02_PP,FARIDABAD,5,HP_02_PP,True,1,1,1,,Runner
17,HP_03_RDC,FARIDABAD,5,HP_03_RDC,True,1,1,1,,Runner
18,HP_04_PDC,FARIDABAD,5,HP_04_PDC,True,1,1,1,,Runner
19,HP_05_STACKING,FARIDABAD,5,HP_05_STACKING,True,1,1,1,,Runner
20,HP_06_STACKING,FARIDABAD,5,HP_06_STACKING,True,1,1,1,,Runner
21,HP_07_FATTLING,FARIDABAD,5,HP_07_FATTLING,True,1,1,1,,Runner
22,HP_08__FATTLING,FARIDABAD,5,HP_08__FATTLING,True,1,1,1,,Runner
32,SHOTBLAST_01,FARIDABAD,5,SHOTBLAST_01,True,1,1,1,,Runner
33,SHOTBLAST_02,FARIDABAD,5,SHOTBLAST_02,True,1,1,0,,Stranger
